Enersight Well name,Pad,Fault Block,Prod_name,,,,,
Well 10-1,15-1 Pad,EFB,10-1-85-26W6 - T2 - NCS - S,,,,,
Well H15-1,15-1 Pad,EFB,H15-1-85-26W6 - T2 - NCS - S,,,,,
Well 15-1,15-1 Pad,EFB,15-1-85-26W6 - C4 - PnP - S,,,,,
Well C15-1,15-1 Pad,EFB,C15-1-85-26W6 - T2 - NCS - S,,,,,
Well D15-1,15-1 Pad,EFB,D15-1-85-26W6 - C4 - OH - S,,,,,
Well E15-1,15-1 Pad,EFB,E15-1-85-26W6 - C4 - NCS - N,,,,,
Well A15-1,15-1 Pad,EFB,A15-1-85-26W6 - C4 - PnP - N,,,,,
Well G15-1,15-1 Pad,EFB,G15-1-85-26W6 - T2 - NCS - N,,,,,
Well F15-1,15-1 Pad,EFB,F15-1-85-26W6 - T2 - NCS - N,,,,,
Well 15-12,15-12 Pad,EFB,15-12-84-26W6 - C4 - PnP - N,,,,,
Well L16-32,16-32 Pad,EFB,L16-32-084-25 - T2 - PnP - S,,,,,
Well M16-32,16-32 Pad,EFB,M16-32-084-25 - C4a - PnP - S,,,,,
Well A16-32,16-32 Pad,EFB,A16-32-084-25 - T2 - PnP - S,,,,,
Well C16-32,16-32 Pad,EFB,C16-32-084-25 - C4a - PnP - S,,,,,
Well E16-32,16-32 Pad,EFB,E16-32-084-25 - T3 - PnP - S,,,,,
Well J16-32,16-32 Pad,EFB,J16-32-084-25 - C2 - PnP - S,,,,,
Well K16-32,16-32 Pad,EFB,K16-32-084-25 - C4 - PnP - S,,,,,
Well 16-32,16-32 Pad,EFB,16-32-084-25 - T3 - PnP - N,,,,,
Well F16-32,16-32 Pad,EFB,F16-32-084-25 - C2 - PnP - N,,,,,
Well G16-32,16-32 Pad,EFB,G16-32-084-25 - C4 - PnP - N,,,,,
Well H16-32,16-32 Pad,EFB,H16-32-084-25 - T2 - PnP - N,,,,,
Well I16-32,16-32 Pad,EFB,I16-32-084-25 - C4a - PnP - N,,,,,
Well B16-32,16-32 Pad,EFB,B16-32-084-25 - C4a - PnP - N,,,,,
Well D16-32,16-32 Pad,EFB,D16-32-084-25 - T2 - PnP - N,,,,,
Well B2-1,7-1 Pad,EFB,B2-01-85-26W6M - T2 - PnP - S,,,,,
Well C2-1,7-1 Pad,EFB,C2-01-85-26W6M - T3 - PnP - S,,,,,
Well C7-1,7-1 Pad,EFB,C7-1-85-26W6 - C4a - PnP - S,,,,,
Well D7-1,7-1 Pad,EFB,D7-1-85-26W6 - C2 - PnP - S,,,,,
Well E7-1,7-1 Pad,EFB,E7-1-85-26W6 - C4 - PnP - S,,,,,
Well D2-1,7-1 Pad,EFB,D2-01-85-26W6M - T2 - PnP - S,,,,,
Well E2-1,7-1 Pad,EFB,E2-01-85-26W6M - T3 - PnP - S,,,,,
Well 7-1,7-1 Pad,EFB,7-1-85-26W6 - C4a - PnP - S,,,,,
Well A7-1,7-1 Pad,EFB,A7-1-85-26W6 - C4 - PnP - S,,,,,
Well B7-1,7-1 Pad,EFB,B7-1-85-26W6 - C2 - PnP - S,,,,,
Well A2-1,7-1 Pad,EFB,A2-01-85-26W6M - T3 - PnP - S,,,,,
Well F7-1,7-1 Pad,EFB,F7-1-85-26W6 - C2 - PnP - S,,,,,
Well G7-1,7-1 Pad,EFB,G7-1-85-26W6 - C4a - PnP - S,,,,,
Well H7-1,7-1 Pad,EFB,H7-1-85-26W6 - C4 - PnP - S,,,,,
Well 2-1,7-1 Pad,EFB,2-01-85-26W6M - T3 - PnP - S,,,,,
Well F2-1,7-1 Pad,EFB,F2-1-85-26W6 - T2 - PnP - N,,,,,
Well G2-1,7-1 Pad,EFB,G2-1-85-26W6 - T3 - PnP - N,,,,,
Well J2-1,7-1 Pad,EFB,J2-1-85-26W6 - T2 - PnP - N,,,,,
Well K2-1,7-1 Pad,EFB,K2-1-85-26W6 - T3 - PnP - N,,,,,
Well L2-1,7-1 Pad,EFB,L2-1-85-26W6 - T2 - PnP - N,,,,,
Well I7-1,7-1 Pad,EFB,I7-1-85-26W6 - T3 - PnP - N,,,,,
Well L7-1,7-1 Pad,EFB,L7-1-85-26W6 - C4a - PnP - N,,,,,
Well M7-1,7-1 Pad,EFB,M7-1-85-26W6 - C2 - PnP - N,,,,,
Well N7-1,7-1 Pad,EFB,N7-1-85-26W6 - C4 - PnP - N,,,,,
Well O7-1,7-1 Pad,EFB,O7-1-85-26W6 - C4a - PnP - N,,,,,
Well P7-1,7-1 Pad,EFB,P7-1-85-26W6 - C2 - PnP - N,,,,,
Well Q7-1,7-1 Pad,EFB,Q7-1-85-26W6 - C4 - PnP - N,,,,,
Well R7-1,7-1 Pad,EFB,R7-1-85-26W6 - C4a - PnP - N,,,,,
Well S7-1,7-1 Pad,EFB,S7-1-85-26W6 - C2 - PnP - N,,,,,
Well A8-6,8-6 Pad,EFB,A8-6-85-25W6M - T2 - PnP - N,,,,,
Well C8-6,8-6 Pad,EFB,C8-6-85-25W6M - T3 - PnP - N,,,,,
Well E8-6,8-6 Pad,EFB,E8-6-85-25W6M - C4 - PnP - N,,,,,
Well F8-6,8-6 Pad,EFB,F8-6-85-25W6M - C4 - PnP - N,,,,,
Well D8-6,8-6 Pad,EFB,D8-6-85-25W6M - C2 - PnP - N,,,,,
Well 8-6,8-6 Pad,EFB,8-6-85-25W6M - T2 - PnP - N,,,,,
Well B8-6,8-6 Pad,EFB,B8-6-85-25W6M - C4 - PnP - N,,,,,
Well a-B40-H,a-40-H,MFB,a-B40-H/94-B-8 - C5 - PnP - N,,,,,
Well a-40-H,a-40-H,MFB,a-40-H/94-B-8 - C2 - PnP - N,,,,,
Well a-A40-H,a-40-H,MFB,a-A40-H/94-B-8 - C4 - PnP - N,,,,,
Well a-E40-H,a-40-H,MFB,a-E40-H/94-B-8 - C2 - PnP - N,,,,,
Well a-D40-H,a-40-H,MFB,a-D40-H/94-B-8 - C5 - PnP - N,,,,,
Well a-C40-H,a-40-H,MFB,a-C40-H/94-B-8 - C4 - PnP - N,,,,,
Well b-A24-H,b-24-H Pad,MFB,b-A24-H/94-B-8 - C4 - PnP - N,,,,,
Well b-B24-H,b-24-H Pad,MFB,b-B24-H/94-B-8 - C4 - PnP - N,,,,,
Well b-A34-H,b-34-H Pad,MFB,b-A34-H/94-B-8 - M - PnP - S,,,,,
Well b-B34-H,b-34-H Pad,MFB,b-B34-H/94-B-8 - T2 - PnP - S,,,,,
Well b-34-H,b-34-H Pad,MFB,b-34-H/94-B-8 - C4 - PnP - S,,,,,
Well b-C34-H,b-34-H Pad,MFB,b-C34-H/94-B-8 - C2 - NCS - S,,,,,
Well b-D34-H,b-34-H Pad,MFB,b-D34-H/94-B-8 - T2 - PnP - S,,,,,
Well b-E34-H,b-34-H Pad,MFB,b-E34-H/94-B-8 - C4 - NCS - S,,,,,
Well b-F34-H,b-34-H Pad,MFB,b-F34-H/94-B-8 - C2 - PnP - S,,,,,
Well b-E74-A,b-74-A Pad,MFB,b-E74-A/94-B-8 - T2 - NCS - S,,,,,
Well b-H74-A,b-74-A Pad,MFB,b-H74-A/94-B-8 - C4 - NCS - S,,,,,
Well b-I74-A,b-74-A Pad,MFB,b-I74-A/94-B-8 - C2 - NCS - S,,,,,
Well b-G74-A,b-74-A Pad,MFB,b-G74-A/94-B-8 - C2 - NCS - S,,,,,
Well b-C74-A,b-74-A Pad,MFB,b-C74-A/94-B-8 - C3 - PnP - S,,,,,
Well b-D74-A,b-74-A Pad,MFB,b-D74-A/94-B-8 - C5 - PnP - S,,,,,
Well b-A74-A,b-74-A Pad,MFB,b-A74-A/94-B-8 - T2 - PnP - S,,,,,
Well b-B74-A,b-74-A Pad,MFB,b-B74-A/94-B-8 - C5 - PnP - S,,,,,
Well c-74-A,b-74-A Pad,MFB,c-74-A/94-B-8 - C2 - PnP - N,,,,,
Well c-E74-A,b-74-A Pad,MFB,c-E74-A/94-B-8 - C5 - PnP - N,,,,,
Well c-C74-A,b-74-A Pad,MFB,c-C74-A/94-B-8 - C5 - PnP - N,,,,,
Well c-B74-A,b-74-A Pad,MFB,c-B74-A/94-B-8 - C4 - PnP - N,,,,,
Well c-D74-A,b-74-A Pad,MFB,c-D74-A/94-B-8 - C2 - PnP - N,,,,,
Well b-95-H,b-95-H Pad,NFB,b-95-H/94-B-8 - C4 - NCS - S,,,,,
Well b-A95-H,b-95-H Pad,NFB,b-A95-H/94-B-8 - C2 - NCS - S,,,,,
Well b-B95-H,b-95-H Pad,NFB,b-B95-H/94-B-8 - C4 - PnP - N,,,,,
Well b-C95-H,b-95-H Pad,NFB,b-C95-H/94-B-8 - C2 - PnP - N,,,,,
Well b-E95-H,b-95-H Pad,NFB,b-E95-H/94-B-8 - C4 - PnP - N,,,,,
Well b-F95-H,b-95-H Pad,NFB,b-F95-H/94-B-8 - C2 - PnP - N,,,,,
Well b-D95-H,b-95-H Pad,NFB,b-D95-H/94-B-8 - C4 - PnP - N,,,,,
Well b-G95-H,b-95-H Pad,NFB,b-G95-H/94-B-8 - T3 - PnP - N,,,,,
Well b-H95-H,b-95-H Pad,NFB,b-H95-H/94-B-8 - T2 - PnP - N,,,,,
Well b-I95-H,b-95-H Pad,NFB,b-I95-H/94-B-8 - T2U - PnP - N,,,,,
Well b-J95-H,b-95-H Pad,NFB,b-J95-H/94-B-8 - T2 - PnP - N,,,,,
Well b-K95-H,b-95-H Pad,NFB,b-K95-H/94-B-8 - T3 - PnP - N,,,,,
Well b-L95-H,b-95-H Pad,NFB,b-L95-H/94-B-8 - T2U - PnP - N,,,,,
Well b-M95-H,b-95-H Pad,NFB,b-M95-H/94-B-8 - T2 - PnP - N,,,,,
Well b-C97-A,b-97-A Pad,MFB,b-C97-A/94-B-8 - C3 - PnP - S,,,,,
Well b-A97-A,b-97-A Pad,MFB,b-A97-A/94-B-8 - C3 - PnP - S,,,,,
Well b-B97-A,b-97-A Pad,MFB,b-B97-A/94-B-8 - C5 - PnP - S,,,,,
Well b-97-A,b-97-A Pad,MFB,b-97-A/94-B-8 - T2 - PnP - N,,,,,
