H HEADER INFORMATION -------------------------------------------,,,,,,,,,,,,,
H DIRECTIONAL COMPANY:,PACESETTER DIRECTIONAL DRILLING LTD.,,,,,,,,,,,,
H COMPANY :,Pacific Canbriam Energy Limited,,,,,,,,,,,,
H FIELD   :,Altares (NAD 27),,,,,,,,,,,,
H SITE    :,Padsite: 15-12-84-26 W6M,,,,,,,,,,,,
H WELL    :,Pacific Canbriam HZ Altares A15-12-084-26,,,,,,,,,,,,
H WELLPATH:,Job# 24-D1181 - Leg 2,,,,,,,,,,,,
H DEPTHUNT:,m,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H WELL INFORMATION,,,,,,,,,,,,,
H WELL EW MAP :,564387.02,,,,,,,,,,,,
H WELL NS MAP :,6236771.3,,,,,,,,,,,,
H KB ELEVN :,776.65,,,,,,,,,,,,
H GRD LVL :,770.4,,,,,,,,,,,,
H NORTH REF :,TRUE,,,,,,,,,,,,
H VSECT ANGLE :,104.6,,,,,,,,,,,,
H VSECT NORTH :,0,,,,,,,,,,,,
H VSECT EAST  :,0,,,,,,,,,,,,
H Grid Convergence at Surface is 0.865°.,,,,,,,,,,,,,
H TEXT FILE EXPORT DATE :,27-Oct-24,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H SURVEY TYPE INFORMATION,,,,,,,,,,,,,
H  6.25 - 1084.26 FINAL SURVEYS : MWD+IFR1+MS-ROUNDLAB,,,,,,,,,,,,,
H  1100.68 - 4368.00 SURVEYS : MWD+IFR1+MS-ROUNDLAB,,,,,,,,,,,,,
H---------------------------------------------------------------- ,,,,,,,,,,,,,
H Survey List,,,,,,,,,,,,,
MD,Incl.,Azim.,TVD,Sub-Sea,NS,EW,VSEC,Dogleg,UTM(X),UTM(Y),Latitude,Longitude,Comment
0,0,0,0,776.65,0,0,0,0,564387.02,6236771.3,56.27331,-121.960291, 
6.25,0,0,6.25,770.4,0,0,0,0,564387.02,6236771.3,56.27331,-121.960291,GL
42.73,0.97,276.57,42.73,733.92,0.04,-0.31,-0.31,0.7977,564386.71,6236771.33,56.273311,-121.960296, 
61.03,1.25,268.21,61.02,715.63,0.05,-0.66,-0.65,0.5291,564386.36,6236771.34,56.273311,-121.960302, 
79.19,1.48,257.73,79.18,697.47,-0.01,-1.09,-1.05,0.5593,564385.93,6236771.28,56.27331,-121.960309, 
98.73,1.27,260.88,98.71,677.94,-0.1,-1.55,-1.47,0.3425,564385.48,6236771.18,56.273309,-121.960316, 
117.78,1.04,252.26,117.76,658.89,-0.18,-1.92,-1.81,0.453,564385.1,6236771.09,56.273309,-121.960322, 
137,0.72,223.76,136.98,639.67,-0.32,-2.17,-2.02,0.8316,564384.86,6236770.95,56.273307,-121.960326, 
155.95,0.62,176.22,155.93,620.72,-0.51,-2.25,-2.04,0.8672,564384.78,6236770.76,56.273306,-121.960327, 
194.19,1.05,146.44,194.16,582.49,-1.01,-2.04,-1.72,0.4686,564385,6236770.26,56.273301,-121.960324, 
213.38,1.01,123.86,213.35,563.3,-1.25,-1.8,-1.43,0.6334,564385.24,6236770.03,56.273299,-121.96032, 
232.58,1,131.32,232.55,544.1,-1.46,-1.53,-1.12,0.2049,564385.51,6236769.83,56.273297,-121.960316, 
251.85,0.84,141.72,251.81,524.84,-1.68,-1.32,-0.86,0.3591,564385.73,6236769.61,56.273295,-121.960312, 
271.07,0.9,159.44,271.03,505.62,-1.93,-1.18,-0.66,0.4284,564385.87,6236769.36,56.273293,-121.96031, 
289.92,0.11,205.83,289.88,486.77,-2.08,-1.14,-0.57,1.3177,564385.92,6236769.2,56.273292,-121.960309, 
309.17,0.59,330.52,309.13,467.52,-2.02,-1.19,-0.65,1.0268,564385.86,6236769.27,56.273292,-121.96031, 
327.95,0.72,316.6,327.91,448.74,-1.85,-1.32,-0.81,0.3268,564385.73,6236769.44,56.273294,-121.960312, 
346.77,0.67,294.48,346.73,429.92,-1.71,-1.5,-1.02,0.4322,564385.54,6236769.57,56.273295,-121.960315, 
365.73,0.94,266.87,365.69,410.96,-1.68,-1.76,-1.28,0.7359,564385.29,6236769.6,56.273295,-121.960319, 
384.97,0.39,249.69,384.93,391.72,-1.71,-1.98,-1.48,0.9028,564385.07,6236769.57,56.273295,-121.960323, 
403.89,0.32,142.71,403.85,372.8,-1.77,-2.01,-1.5,0.9073,564385.04,6236769.5,56.273294,-121.960323, 
423.07,0.28,160.08,423.02,353.63,-1.86,-1.96,-1.43,0.1546,564385.09,6236769.42,56.273294,-121.960323, 
441.99,0.55,207.65,441.94,334.71,-1.98,-1.98,-1.42,0.6597,564385.07,6236769.29,56.273293,-121.960323, 
461.13,0.65,208.3,461.08,315.57,-2.16,-2.08,-1.47,0.1571,564384.98,6236769.11,56.273291,-121.960325, 
480.38,0.89,216.07,480.33,296.32,-2.38,-2.22,-1.55,0.4071,564384.84,6236768.9,56.273289,-121.960327, 
499.63,0.74,216.14,499.58,277.07,-2.6,-2.38,-1.65,0.2338,564384.68,6236768.67,56.273287,-121.960329, 
518.68,0.57,190.89,518.63,258.02,-2.79,-2.47,-1.69,0.5211,564384.59,6236768.48,56.273285,-121.960331, 
537.99,0.59,111.59,537.94,238.71,-2.92,-2.4,-1.58,1.1502,564384.67,6236768.35,56.273284,-121.96033, 
557.13,1.27,85.42,557.08,219.57,-2.94,-2.09,-1.28,1.2302,564384.97,6236768.33,56.273284,-121.960325, 
576.26,1.15,83.13,576.2,200.45,-2.9,-1.69,-0.91,0.2029,564385.37,6236768.38,56.273284,-121.960318, 
595.47,0.76,104.49,595.41,181.24,-2.91,-1.38,-0.6,0.8147,564385.69,6236768.38,56.273284,-121.960313, 
607,0.69,117.75,606.94,169.71,-2.96,-1.24,-0.45,0.4717,564385.83,6236768.33,56.273284,-121.960311, 
624,0.55,117.54,623.94,152.71,-3.05,-1.08,-0.28,0.2471,564385.99,6236768.24,56.273283,-121.960308,SCP
640.78,0.42,117.2,640.72,135.93,-3.11,-0.95,-0.14,0.2325,564386.12,6236768.18,56.273282,-121.960306, 
659.82,0.35,115.05,659.76,116.89,-3.17,-0.84,-0.01,0.1126,564386.23,6236768.12,56.273282,-121.960305, 
679.08,0.21,133.49,679.02,97.63,-3.22,-0.76,0.08,0.2566,564386.31,6236768.08,56.273281,-121.960303, 
698.39,0.17,161.34,698.32,78.33,-3.27,-0.72,0.12,0.1543,564386.35,6236768.03,56.273281,-121.960303, 
717.7,0.15,196.69,717.63,59.02,-3.32,-0.72,0.14,0.1538,564386.35,6236767.97,56.27328,-121.960303, 
736.81,0.26,213.97,736.74,39.91,-3.38,-0.75,0.12,0.1962,564386.32,6236767.91,56.27328,-121.960303, 
756.12,0.36,218.2,756.05,20.6,-3.46,-0.82,0.08,0.1593,564386.26,6236767.83,56.273279,-121.960304, 
775.59,0.5,210.17,775.52,1.13,-3.59,-0.9,0.04,0.2343,564386.18,6236767.71,56.273278,-121.960306, 
