Gas ID,Initial Flow Date
A41FF23FB2A44DAD9BBD1EA2811E8A22,2009-01-02
FF6F2D1A71B049FAB055AFA9385F0E6C,2011-08-04
4C8DFC52B1924C73A294C61286D12518,2011-04-08
769A219763A842099CB0E0CC5EE97BEF,2011-04-12
6DEBB5D9031A41D38404B8B28CD9A382,2012-01-28
E36A937EDD934042B046EEF784DA79CC,2012-05-21
5B2843D45851479EA3D9DC136A24B1E4,2012-05-28
BAB97EA450344AACA5B0F8FBD9DE3D85,2012-08-05
31755D8DB1D54FF689DC5699DB565C34,2012-08-08
E071CD1EEA744184B9FA56C48496ADBF,2012-08-10
3A7E142459CC4F1FB5656CA6C5FB7DDA,2012-08-13
6BF617A5C1A54D0AA0673B5FCAD7A6E2,2013-02-01
A0DA896EBBC946E598A414954DB821AB,2013-02-02
188A7A4C4AFA4F949A079F4FAFA58237,2013-08-07
2091EB1C842043AA9FDD6518C817A2FC,2013-08-22
A601E43BBC6B43D8AC6D2833B1EB815E,2013-08-19
3508D7017D1A4B2681BED7D338DCBCC6,2013-09-02
D9679C1625924B9E9457598637FC9EF7,2013-08-30
3B02C39328864D05BE4B979501CF87AC,2013-09-05
34F44F687C8F4602B935611D7914525B,2013-12-03
8D9FC348B7EB4831BF61A131E62B77B7,2013-12-13
D74A752868734513B0B5F7D10287AA88,2014-11-09
DC8C2EF1B780436BA4748ABFCB7B0372,2014-09-10
6640C04812DD4E19B1999753360DF384,2014-10-06
497B0BCFCBDE4477803F380E7C795A48,2015-02-15
6E4E12AB0DE542749EAAC5704875D3D3,2015-01-18
6C62EC227BB94619B350D100B3BB02C2,2015-01-21
75E95D52ACEF43A585ED27F4502BCC0C,2015-02-10
45B1A41474914BC588A7D5C93EE9BD1E,2015-02-11
B689F0B962244D72A32EB98A0357D1F1,2015-03-16
5B07E3FB3BE54FB1BF33A8017A98CBBE,2015-03-04
93A5CEF98B0F448BBF8376CC3892FF58,2015-03-04
A9C7E2A081C54F15B2FC26F286CD3F41,2015-03-07
9CB0638D33234875B00FBB24DB0E8782,2015-07-23
C7C5F9F1B0E04F49B421937546773B60,2015-07-29
0AE4E9027BAB46128F8E1D32D91D0ECE,2015-07-26
DECCFAB6AE5A457B837E249F4625B340,2015-07-30
371B815298DE482C9C445F81EDDCFB5D,2015-08-10
E4C0B5B3ADD94BC3AFBF9090FC7CA01E,2015-08-06
DAD1B3723AE045B78FEA981177C38D8D,2015-08-07
F81C04239DAA4CF69B8E2166A220772A,2015-08-08
861BAF0B8BAB45CF87DEF4D91DC55A2B,2015-08-11
E1DC42845B4C457B864093CD5531E15C,2015-08-13
539B7E084A3B430B92BAF1125FB39AF1,2015-12-13
53664B21963F40F693DDF76FAA8C77E9,2015-12-29
E9B2AAC3DDDE4E6F88E615C256E95B64,2016-01-19
54F45AF269F443DC9D79A9964F49A388,2016-01-18
814D0B33B6084F77BBB9041A1E7863C9,2016-03-06
29C5570DEFAD47CFA3581D25B181B531,2016-02-04
E326C6AF583048BEBBEECDC51B0940CD,2016-02-07
7DB92AB5A6D14EFCB3FF9E9CB4041CC4,2016-02-05
,2009-06-25
D84BD17251114EBCB1D5ECC88B80FACF,2016-04-11
607217094A0C4B6BA29870E8C2EB6BF6,2016-04-11
93AB3C4240C34DDDBEB0DCD5D4651F53,2016-04-11
9A20313801F64C548D1E67DEDCB9950B,2016-04-16
379BAE2BEFD848B7BE8B35DFE8487863,2016-08-10
FA913F5A222040E09788D8F84064C1D1,2016-08-10
3FD910D2BC6B4428A98433FF1BA148CC,2016-08-10
8704ABF2A10144C7A4D854DA3C182473,2016-08-10
3332BC876C9B43158E8729089919CA34,2016-09-10
E854718E88294BF2B5807F3D78B12F6A,2016-09-13
6BE501F01296460DAEA16B9CC71B83EB,2016-09-11
013663749E9243D7A1CF2FCFE2B85873,2016-09-13
,2010-07-02
,2011-04-08
,2014-01-08
F57C1755BFF44464B0106C75ED811009,2017-04-08
00959BD866494EA4B8D523BF0277CB4A,2017-01-01
16E306F1E1784759B6D44AA1F6F218C8,
CAC6801527DD405B817D9C88F5C5D619,2017-01-10
306B55E22B3348BB982D146FBEE86C60,2017-01-08
DF0ED3590F0C4214A7805E63DD84C147,2017-01-11
D88DB9CE82A743F8B67C064E59604AE4,2017-01-13
4CAF38AF5B264FF982ABFDC394CC1243,2017-02-25
5D72C3796A8E4DED8810FA56D3C0D42F,2017-02-25
AFDA74B5B5E24E648076D01E04E251C7,2017-03-19
5AE3C423F8D94235B2DE37474450C12D,2017-03-19
F9DE05CB85464648821E861D0495EA7A,2017-03-18
51A5C1F1380B457EAB038769554B57ED,2017-03-18
B8BD24D69056481B900A77B272299EC9,2017-04-04
65BBFCBD53D04C38B8C604D8783C5D90,2017-03-30
3B54EB850CB843DE9B0B5F0C78C74454,2017-08-07
"
A908CB619FEA4572A81D3E94C4EBFBF8",2017-08-05
A46EDB818E234C7FA6F2A4750CDEEBB7,2017-08-06
56F74DF07BFB4B21A51DCE5F7687A811,2017-10-24
FA80DF389AB34EB1BB73F11CC292A35F,2017-10-24
4EC5CBEFD451495A87C0CC389DDF7B48,2017-10-24
2144A387717E463E87673CFD8269BFF5,2017-10-26
769CE23E63C44CEE972D1E1A0597CBFD,2017-10-08
4B69EE127615480080DAC851C12851D7,2017-11-28
