Well Name,Well Name Cleaned,UWI
d-55-A/94-B-8 - Gt - PnP,d-55-A/94-B-8-Gt-PnP,200/d-044-A/094-B-08/0
b-74-A/94-B-8 - Gt - PnP,b-74-A/94-B-8-Gt-PnP,200/a-075-A/094-B-08/0
d-88-A/94-B-8 - Gt - PnP,d-88-A/94-B-8-Gt-PnP,200/a-098-A/094-B-08/0
c-37-H/94-B-8 - C2 - NCS-PnP,c-37-H/94-B-8-C2-NCS-PnP,204/c-005-H/094-B-08/0
M16-32-084-25 - C4a - PnP,M16-32-084-25-C4a-PnP,102/16-28-084-25W6/0
A16-32-084-25 - T2 - PnP,A16-32-084-25-T2-PnP,100/01-33-084-25W6/0
C16-32-084-25 - C4a - PnP,C16-32-084-25-C4a-PnP,102/01-33-084-25W6/0
E16-32-084-25 - T3 - PnP,E16-32-084-25-T3-PnP,103/01-33-084-25W6/0
J16-32-084-25 - C2 - PnP,J16-32-084-25-C2-PnP,104/01-33-084-25W6/0
K16-32-084-25 - C4 - PnP,K16-32-084-25-C4-PnP,105/01-33-084-25W6/0
16-32-084-25 - T3 - PnP,16-32-084-25-T3-PnP,100/15-08-085-25W6/0
F16-32-084-25 - C2 - PnP,F16-32-084-25-C2-PnP,102/15-08-085-25W6/0
G16-32-084-25 - C4 - PnP,G16-32-084-25-C4-PnP,103/15-08-085-25W6/0
H16-32-084-25 - T2 - PnP,H16-32-084-25-T2-PnP,104/15-08-085-25W6/0
I16-32-084-25 - C4a - PnP,I16-32-084-25-C4a-PnP,105/15-08-085-25W6/0
B16-32-084-25 - C4a - PnP,B16-32-084-25-C4a-PnP,100/16-08-085-25W6/0
D16-32-084-25 - T2 - PnP,D16-32-084-25-T2-PnP,102/16-08-085-25W6/0
